ID Moeda,Nome,Símbolo,Preço (U$),Capitalização (U$),Volume 24h (U$),Variação 1h (%),Variação 24h (%),Variação 7d (%),Última Atualização
bitcoin,Bitcoin,btc,"U$ 109,540.00","U$ 2,181,842,198,551.00","U$ 76,059,028,297.00",0.53%,-3.07%,-6.34%,2025-09-25 21:57:40
ethereum,Ethereum,eth,"U$ 3,925.42","U$ 473,105,545,955.00","U$ 65,725,899,103.00",1.61%,-4.84%,-14.45%,2025-09-25 21:57:40
tether,Tether,usdt,U$ 1.00,"U$ 173,529,275,612.00","U$ 165,864,742,239.00",0.00%,0.03%,0.01%,2025-09-25 21:57:40
ripple,XRP,xrp,U$ 2.76,"U$ 164,633,990,868.00","U$ 8,952,328,607.00",0.62%,-5.40%,-10.40%,2025-09-25 21:57:40
binancecoin,BNB,bnb,U$ 954.37,"U$ 132,386,997,259.00","U$ 3,482,048,027.00",1.06%,-6.07%,-3.02%,2025-09-25 21:57:40
solana,Solana,sol,U$ 194.41,"U$ 105,601,243,667.00","U$ 12,253,460,179.00",1.16%,-7.68%,-21.48%,2025-09-25 21:57:40
usd-coin,USDC,usdc,U$ 1.00,"U$ 73,947,488,065.00","U$ 18,556,219,589.00",-0.01%,-0.00%,-0.01%,2025-09-25 21:57:40
dogecoin,Dogecoin,doge,U$ 0.22,"U$ 33,940,785,519.00","U$ 4,200,194,903.00",1.10%,-6.04%,-19.20%,2025-09-25 21:57:40
staked-ether,Lido Staked Ether,steth,"U$ 3,914.99","U$ 33,206,038,747.00","U$ 89,197,457.00",0.73%,-5.11%,-14.68%,2025-09-25 21:57:40
tron,TRON,trx,U$ 0.33,"U$ 31,549,745,871.00","U$ 1,002,585,547.00",0.42%,-1.14%,-4.78%,2025-09-25 21:57:40
