ID Moeda,Nome,Símbolo,Preço (U$),Capitalização (U$),Volume 24h (U$),Variação 1h (%),Variação 24h (%),Variação 7d (%)
bitcoin,Bitcoin,BTC,109821.0,2188452400766.0,73910978727.0,0.4,2.7,6.3
ethereum,Ethereum,ETH,3962.36,477011664877.0,64178185694.0,0.9,3.6,14.0
tether,Tether,USDT,1.0,173662461028.0,162688419593.0,0.0,0.0,0.0
xrp,XRP,XRP,2.77,165507717259.0,8992006817.0,0.1,4.5,10.0
bnb,BNB,BNB,955.94,132910319927.0,3455473693.0,0.0,5.3,3.0
solana,Solana,SOL,196.66,106515832208.0,12245482261.0,0.4,6.0,20.8
usdc,USDC,USDC,0.9997,73993707443.0,26048795243.0,0.0,0.0,0.0
dogecoin,Dogecoin,DOGE,0.227,34232536637.0,4217191202.0,0.3,4.7,19.2
lido-staked-ether,Lido Staked Ether,STETH,3955.94,33699233637.0,92316096.0,0.8,3.7,14.1
tron,TRON,TRX,0.3351,31731924012.0,1005654072.0,0.1,0.7,4.7
